Designator,Manufacturer,Manufacturer Part Number,Quantity,Supplier,Supplier Part Number,Description

"BATT1","MPD (Memory Protection Devices)","BC2032-E2","1","Digi-Key Electronics","BC2032-E2-ND","Battery"
"C1, C2, C3, C8, C30","YAGEO","CC0805KRX7R9BB104","5","Digi-Key Electronics","311-1140-1-ND","Capacitor"
"C4, C5, C12, C13, C15, C21, C22, C24, C31","Samsung Electro-Mechanics","CL21B104KBCNNNC","9","Digi-Key Electronics","1276-1003-1-ND","Capacitor"
"C6, C16","Panasonic Electronic Components","EEE-FT1E471AP","2","Digi-Key Electronics","PCE5010CT-ND","Polarized Capacitor"
"C7, C17","TDK Corporation","CGA4J3X7R2E223K125AA","2","Digi-Key Electronics","445-5836-1-ND","Capacitor"
"C9, C18","KEMET","C0805C224K5RAC7800","2","Digi-Key Electronics","399-C0805C224K5RACTUCT-ND","Capacitor"
"C10, C11, C19, C20","YAGEO","CC0805KRX7R9BB103","4","Digi-Key Electronics","311-1136-1-ND","Capacitor"
"C14, C23","Samsung Electro-Mechanics","CL21B105KAFNNNE","2","Digi-Key Electronics","1276-1066-1-ND","Capacitor"
"C25, C26, C27, C28","Murata Electronics","GRM21BZ71E106KE15L","4","Digi-Key Electronics","490-GRM21BZ71E106KE15LCT-ND","Capacitor"
"C29","Samsung Electro-Mechanics","CL21A106KAYNNNG","1","Digi-Key Electronics","1276-6454-1-ND","Capacitor"
"D1, D2","Diodes Incorporated","S5GC-13-F","2","Digi-Key Electronics","S5GC-FDICT-ND","Diode"
"D3","Littelfuse Inc.","SP4020-01FTG-C","1","Digi-Key Electronics","F6271CT-ND","TVS Diode"
"GPS1","u-blox","SAM-M10Q-00B","1","Digi-Key Electronics","672-SAM-M10Q-00BCT-ND","GPS with integrated Antenna"
"L1","Eaton - Electronics Division","MFBA2V2012P-700-R","1","Digi-Key Electronics","283-MFBA2V2012P-700-RCT-ND","Ferrite Bead"
"P1, P2, P9","JST Sales America Inc.","S2B-XH-A","3","Digi-Key Electronics","455-S2B-XH-A-ND","2 Pin Header"
"P3, P8","Würth Elektronik","691137710002","2","Digi-Key Electronics","732-10955-ND","2 Position Wire to Board Terminal Block Horizontal with Board 0.197" (5.00mm) Through Hole"
"P4, P6, P10, P11","JST","B4B-XH-2","4","Digi-Key Electronics","455-B4B-XH-A-ND","4 Pin Header"
"P5, P7","JST Sales America Inc.","B3B-XH-A","2","Digi-Key Electronics","455-2248-ND","3 Pin Header"
"Q1, Q2","Toshiba Semiconductor and Storage","SSM3K123TU,LF","2","Digi-Key Electronics","SSM3K123TULFCT-ND","N-Channel 20 V 4.2A (Ta) 500mW (Ta) Surface Mount UFM"
"R1, R2","YAGEO","RC0805JR-0710KL","2","Digi-Key Electronics","311-10KARCT-ND","Standard Resistor"
"R3","Panasonic Electronic Components","ERA-6AEB105V","1","Digi-Key Electronics","P1MDACT-ND","Standard Resistor"
"R4, R5","Vishay Dale","CRCW08052M00FKECC","2","Digi-Key Electronics","541-4129-1-ND","Standard Resistor"
"R6, R8","Vishay Dale","CRCW080515K4FKEA","2","Digi-Key Electronics","541-15.4KCCT-ND","Standard Resistor"
"R7, R9","Vishay Dale","CRCW08052K10FKEA","2","Digi-Key Electronics","541-2.10KCCT-ND","Standard Resistor"
"R10","Panasonic Electronic Components","ERJ-6GEYJ681V","1","Digi-Key Electronics","P680ACT-ND","Standard Resistor"
"RPI1","Sullins Connector Solutions","PPTC202LFBN-RC","1","Digi-Key Electronics","S6104-ND","Raspberry Pi 40 Pin Header"
"U1","Microchip Technology","MCP96L01T-E/MX","1","Digi-Key Electronics","150-MCP96L01T-E/MXCT-ND","Thermocouple EMF to Temperature Converter,  ±1.5°C Maximum Accuracy"
"U2","Texas Instruments","TMP117AIDRVR","1","Digi-Key Electronics","296-51834-1-ND","Temperature Sensor Digital, Local -55°C ~ 150°C 16 b 6-WSON (2x2)"
"U3, U5","Texas Instruments","DRV8434ARGER","2","Digi-Key Electronics","296-DRV8434ARGERCT-ND","Bipolar Motor Driver NMOS Step/Direction 24-VQFN (4x4)"
"U4","Bosch Sensortec","BME280","1","Digi-Key Electronics","828-1063-1-ND","Pressure and Humidity Sensor"
"U6","Recom Power","RPM5.0-6.0","1","Digi-Key Electronics","945-RPM5.0-6.0CT-ND","Non-Isolated PoL Module DC DC Converter 1 Output 5V 6A 4V - 15V Input"
"U7","Analog Devices Inc./Maxim Integrated","MAX11647EUA+T","1","Digi-Key Electronics","175-MAX11647EUA+TCT-ND","10 Bit Analog to Digital Converter 1, 2 Input 1 SAR 8-uMAX/uSOP"
